Provincias,Año,Mes,Turistas_totales,Turistas_pasados,lag_estacional,lag_1,lag_2,lag_3,lag_4,log_ratio,log_lag_1,log_lag_2,log_lag_3,log_lag_4,log_lag_estacional,media_lag_2,media_lag_3,tendencia_corta
Toledo,2005,7,14311.0,15332.0,15795.0,15332.0,17803.0,18252.0,15795.0,-0.06891367518956848,9.63776264743639,9.787178430135745,9.812084729062784,9.66751202240654,9.66751202240654,9.712470538786068,9.745675268878307,-0.1494157826993554
Toledo,2005,8,14917.0,14311.0,18252.0,14311.0,15332.0,17803.0,18252.0,0.04147302984305412,9.568853625188556,9.63776264743639,9.787178430135745,9.812084729062784,9.812084729062784,9.603308136312473,9.664598234253562,-0.06890902224783346
Toledo,2006,5,17508.0,14917.0,17803.0,14917.0,14311.0,15332.0,17803.0,0.16015641715685547,9.610323816515109,9.568853625188556,9.63776264743639,9.787178430135745,9.787178430135745,9.589588720851832,9.605646696380019,0.04147019132655316
Toledo,2006,6,15870.0,17508.0,15332.0,17508.0,14917.0,14311.0,15332.0,-0.09822738479033077,9.770470313426317,9.610323816515109,9.568853625188556,9.63776264743639,9.63776264743639,9.690397064970714,9.649882585043327,0.1601464969112083
Toledo,2006,7,14980.0,15870.0,14311.0,15870.0,17508.0,14917.0,14311.0,-0.057714556449244725,9.672248823507559,9.770470313426317,9.610323816515109,9.568853625188556,9.568853625188556,9.721359568466937,9.684347651149661,-0.09822148991875856
Toledo,2006,8,17240.0,14980.0,14917.0,14980.0,15870.0,17508.0,14917.0,0.14051628714647357,9.614538010517382,9.672248823507559,9.770470313426317,9.610323816515109,9.610323816515109,9.64339341701247,9.685752382483754,-0.05771081299017666
Toledo,2007,5,20189.0,17240.0,17508.0,17240.0,14980.0,15870.0,17508.0,0.15790563639253996,9.75504554717585,9.614538010517382,9.672248823507559,9.770470313426317,9.770470313426317,9.684791778846616,9.680610793733598,0.14050753665846827
Toledo,2007,6,16533.0,20189.0,15870.0,20189.0,17240.0,14980.0,15870.0,-0.19977951805887884,9.912942711306883,9.75504554717585,9.614538010517382,9.672248823507559,9.672248823507559,9.833994129241367,9.760842089666705,0.1578971641310325
Toledo,2007,7,14772.0,16533.0,14980.0,16533.0,20189.0,17240.0,14980.0,-0.11262488657889058,9.713174145812621,9.912942711306883,9.75504554717585,9.614538010517382,9.614538010517382,9.813058428559753,9.793720801431785,-0.1997685654942618
Toledo,2007,8,16604.0,14772.0,17240.0,14772.0,16533.0,20189.0,17240.0,0.11691013320047539,9.600556469321608,9.713174145812621,9.912942711306883,9.75504554717585,9.75504554717585,9.656865307567115,9.742224442147037,-0.11261767649101273
