Provincias,Año,Mes,Turistas_totales
Albacete,2013,11,1602.0
Albacete,2013,12,1159.0
Albacete,2014,1,1034.0
Albacete,2014,2,1276.0
Albacete,2014,3,1588.0
Albacete,2014,4,2392.0
Albacete,2014,5,1976.0
Albacete,2014,6,2020.0
Albacete,2014,7,2341.0
Albacete,2014,8,2143.0
Albacete,2014,9,2721.0
Albacete,2014,10,2603.0
Albacete,2014,11,1564.0
Albacete,2014,12,963.0
Albacete,2015,1,1114.0
Albacete,2015,2,1320.0
Albacete,2015,3,1460.0
Albacete,2015,4,1907.0
Albacete,2015,5,2414.0
Albacete,2015,6,2009.0
Albacete,2015,7,2037.0
Albacete,2015,8,2171.0
Albacete,2015,9,2380.0
Albacete,2015,10,2867.0
Albacete,2015,11,2223.0
Albacete,2015,12,1435.0
Albacete,2016,1,2366.0
Albacete,2016,2,1214.0
Albacete,2016,3,2413.0
Albacete,2016,4,2376.0
Albacete,2016,5,2984.0
Albacete,2016,6,2558.0
Albacete,2016,7,2282.0
Albacete,2016,8,2483.0
Albacete,2016,9,3111.0
Albacete,2016,10,3168.0
Albacete,2016,11,2484.0
Albacete,2016,12,1204.0
Albacete,2017,1,1782.0
Albacete,2017,2,1671.0
Albacete,2017,3,2014.0
Albacete,2017,4,3075.0
Albacete,2017,5,3177.0
Albacete,2017,6,2719.0
Albacete,2017,7,3005.0
Albacete,2017,8,2793.0
Albacete,2017,9,3062.0
Albacete,2017,10,2885.0
Albacete,2017,11,2303.0
Albacete,2017,12,1625.0
Albacete,2018,1,2067.0
Albacete,2018,2,2228.0
Albacete,2018,3,2718.0
Albacete,2018,4,2970.0
Albacete,2018,5,2987.0
Albacete,2018,6,2766.0
Albacete,2018,7,2769.0
Albacete,2018,8,2840.0
Albacete,2018,9,3723.0
Albacete,2018,10,3355.0
Albacete,2018,11,2211.0
Albacete,2018,12,1768.0
Albacete,2019,1,1991.0
Albacete,2019,2,2603.0
Albacete,2019,3,2559.0
Albacete,2019,4,3179.0
Albacete,2019,5,3749.0
Albacete,2019,6,3372.0
Albacete,2019,7,3599.0
Albacete,2019,8,3343.0
Albacete,2019,9,3447.0
Albacete,2019,10,3797.0
Albacete,2019,11,2654.0
Albacete,2019,12,2271.0
Albacete,2020,1,2002.0
Albacete,2020,2,2585.0
Albacete,2020,3,892.0
Albacete,2020,4,0.0
Albacete,2020,5,265.0
Albacete,2020,6,661.0
Albacete,2020,7,1561.0
Albacete,2020,8,1325.0
Albacete,2020,9,1471.0
Albacete,2020,10,1713.0
Albacete,2020,11,713.0
Albacete,2020,12,833.0
Albacete,2021,1,624.0
Albacete,2021,2,791.0
Albacete,2021,3,983.0
