ID,Total_nacional,Comunidades_ciudades_autonomas,Provincias,Tipo_turista,Turistas_totales,Año,Mes,Temporada,Outliers_zscore
-2636915145093398542,No aplica,Andalucía,Almería,Viajero,47759.0,2018,9,Otoño,False
-2524917928426701572,No aplica,Andalucía,Almería,Viajero,57449.0,2018,8,Verano,False
3263887454335014066,No aplica,Andalucía,Almería,Viajero,49047.0,2018,7,Verano,False
8211203800619120022,No aplica,Andalucía,Almería,Viajero,44055.0,2018,6,Verano,False
-8823467096607260965,No aplica,Andalucía,Almería,Viajero,39624.0,2018,5,Primavera,False
-3339900175480719396,No aplica,Andalucía,Almería,Viajero,23033.0,2018,4,Primavera,False
3509628715364402239,No aplica,Andalucía,Almería,Viajero,17147.0,2018,3,Primavera,False
-634849987099830957,No aplica,Andalucía,Almería,Viajero,12173.0,2018,2,Invierno,False
5107084577070241703,No aplica,Andalucía,Almería,Viajero,10077.0,2018,1,Invierno,False
-7274442372534569664,No aplica,Andalucía,Almería,Viajero,10924.0,2017,12,Invierno,False
9094422406630609028,No aplica,Andalucía,Almería,Viajero,14057.0,2017,11,Otoño,False
-1890987893771782508,No aplica,Andalucía,Almería,Viajero,34866.0,2017,10,Otoño,False
-3584152338064302615,No aplica,Andalucía,Almería,Viajero,54057.0,2017,9,Otoño,False
-7974376772764050188,No aplica,Andalucía,Almería,Viajero,51294.0,2017,8,Verano,False
-6220898094442175625,No aplica,Andalucía,Almería,Viajero,50804.0,2017,7,Verano,False
-8865022184309265837,No aplica,Andalucía,Almería,Viajero,42857.0,2017,6,Verano,False
-92059263646241075,No aplica,Andalucía,Almería,Viajero,37564.0,2017,5,Primavera,False
2629754581348787407,No aplica,Andalucía,Almería,Viajero,23528.0,2017,4,Primavera,False
5296510012940213205,No aplica,Andalucía,Almería,Viajero,14194.0,2017,3,Primavera,False
6194277541022337895,No aplica,Andalucía,Almería,Viajero,11265.0,2017,2,Invierno,False
7177538379945826887,No aplica,Andalucía,Almería,Viajero,9990.0,2017,1,Invierno,False
-8458590925743447214,No aplica,Andalucía,Almería,Viajero,8732.0,2016,12,Invierno,False
3706248565773456649,No aplica,Andalucía,Almería,Viajero,12577.0,2016,11,Otoño,False
-3485496927494083457,No aplica,Andalucía,Almería,Viajero,30726.0,2016,10,Otoño,False
5819253685142228997,No aplica,Andalucía,Almería,Viajero,45894.0,2016,9,Otoño,False
-5891142601982206859,No aplica,Andalucía,Almería,Viajero,46067.0,2016,8,Verano,False
982415362010892377,No aplica,Andalucía,Almería,Viajero,47283.0,2016,7,Verano,False
7472898962863492913,No aplica,Andalucía,Almería,Viajero,36885.0,2016,6,Verano,False
-8651376938494919236,No aplica,Andalucía,Almería,Viajero,32865.0,2016,5,Primavera,False
3368770170640642846,No aplica,Andalucía,Almería,Viajero,19282.0,2016,4,Primavera,False
4718639076351160718,No aplica,Andalucía,Almería,Viajero,14413.0,2016,3,Primavera,False
5622065506736077268,No aplica,Andalucía,Almería,Viajero,10588.0,2016,2,Invierno,False
8670159273737604478,No aplica,Andalucía,Almería,Viajero,8616.0,2016,1,Invierno,False
-5333174153357967389,No aplica,Andalucía,Almería,Viajero,7381.0,2015,12,Invierno,False
-2672980902194117914,No aplica,Andalucía,Almería,Viajero,10267.0,2015,11,Otoño,False
5208746396464834768,No aplica,Andalucía,Almería,Viajero,21115.0,2015,10,Otoño,False
6989120019261431228,No aplica,Andalucía,Almería,Viajero,35699.0,2015,9,Otoño,False
-5182545773454025841,No aplica,Andalucía,Almería,Viajero,33360.0,2015,8,Verano,False
-1523694582265060987,No aplica,Andalucía,Almería,Viajero,36218.0,2015,7,Verano,False
