Provincias,Año,Mes,Turistas_totales,Turistas_pasados,lag_estacional,lag_1,lag_2,lag_3,lag_4,log_ratio,log_lag_1,log_lag_2,log_lag_3,log_lag_4,log_lag_estacional,media_lag_2,media_lag_3,tendencia_corta
Cáceres,2026,8,,,11495.0,,,11495.0,10122.0,,,,9.34975442775886,9.222565341598752,9.34975442775886,,,
Cádiz,2026,6,,87216.0,102462.0,87216.0,92404.0,102462.0,89695.0,,11.376154545024425,11.433936368719857,11.537257036783465,11.404181453964515,11.537257036783465,11.405045456872141,11.44911598350925,-0.057781823695432166
Cádiz,2026,7,,,92404.0,,87216.0,92404.0,102462.0,,,11.376154545024425,11.433936368719857,11.537257036783465,11.433936368719857,,,
Cádiz,2026,8,,,87216.0,,,87216.0,92404.0,,,,11.376154545024425,11.433936368719857,11.376154545024425,,,
Córdoba,2026,6,,34670.0,41791.0,34670.0,32524.0,41791.0,38036.0,,10.453658881643552,10.389764303380707,10.640460212636103,10.546314649196058,10.640460212636103,10.421711592512128,10.49462779922012,0.06389457826284506
Córdoba,2026,7,,,32524.0,,34670.0,32524.0,41791.0,,,10.453658881643552,10.389764303380707,10.640460212636103,10.389764303380707,,,
Córdoba,2026,8,,,34670.0,,,34670.0,32524.0,,,,10.453658881643552,10.389764303380707,10.453658881643552,,,
Gipuzkoa,2026,6,,102394.0,89443.0,102394.0,102865.0,89443.0,97289.0,,11.536593162270412,11.541182449340686,11.401368010108037,11.485451487969474,11.401368010108037,11.53888780580555,11.493047873906377,-0.004589287070274395
Gipuzkoa,2026,7,,,102865.0,,102394.0,102865.0,89443.0,,,11.536593162270412,11.541182449340686,11.401368010108037,11.541182449340686,,,
Gipuzkoa,2026,8,,,102394.0,,,102394.0,102865.0,,,,11.536593162270412,11.541182449340686,11.536593162270412,,,
Girona,2026,6,,406676.0,320102.0,406676.0,388351.0,320102.0,402174.0,,12.91577453755457,12.869667423828094,12.676398097985265,12.904642596258508,12.676398097985265,12.892720980691333,12.820613353122644,0.046107113726476356
Girona,2026,7,,,388351.0,,406676.0,388351.0,320102.0,,,12.91577453755457,12.869667423828094,12.676398097985265,12.869667423828094,,,
Girona,2026,8,,,406676.0,,,406676.0,388351.0,,,,12.91577453755457,12.869667423828094,12.91577453755457,,,
Granada,2026,6,,105870.0,114425.0,105870.0,110482.0,114425.0,109492.0,,11.56997665083924,11.612616941950565,11.647683604832574,11.60361589925464,11.647683604832574,11.591296796394904,11.61009239920746,-0.04264029111132395
Granada,2026,7,,,110482.0,,105870.0,110482.0,114425.0,,,11.56997665083924,11.612616941950565,11.647683604832574,11.612616941950565,,,
Granada,2026,8,,,105870.0,,,105870.0,110482.0,,,,11.56997665083924,11.612616941950565,11.56997665083924,,,
Guadalajara,2026,6,,2820.0,3952.0,2820.0,3822.0,3952.0,2655.0,,7.944846711001996,8.248790733696413,8.282230063296685,7.884576510596324,8.282230063296685,8.096818722349205,8.158622502665033,-0.30394402269441745
Guadalajara,2026,7,,,3822.0,,2820.0,3822.0,3952.0,,,7.944846711001996,8.248790733696413,8.282230063296685,8.248790733696413,,,
Guadalajara,2026,8,,,2820.0,,,2820.0,3822.0,,,,7.944846711001996,8.248790733696413,7.944846711001996,,,
Huelva,2026,6,,50981.0,46496.0,50981.0,38753.0,46496.0,46737.0,,10.839227908231596,10.564989255260528,10.74714307336516,10.752312817275751,10.74714307336516,10.702108581746062,10.717120078952428,0.27423865297106786
Huelva,2026,7,,,38753.0,,50981.0,38753.0,46496.0,,,10.839227908231596,10.564989255260528,10.74714307336516,10.564989255260528,,,
Huelva,2026,8,,,50981.0,,,50981.0,38753.0,,,,10.839227908231596,10.564989255260528,10.839227908231596,,,
Huesca,2026,6,,25620.0,21895.0,25620.0,24171.0,21895.0,26690.0,,10.15116760669524,10.09295021748145,9.994059250720515,10.192081708912877,9.994059250720515,10.122058912088345,10.079392358299069,0.05821738921379094
Huesca,2026,7,,,24171.0,,25620.0,24171.0,21895.0,,,10.15116760669524,10.09295021748145,9.994059250720515,10.09295021748145,,,
Huesca,2026,8,,,25620.0,,,25620.0,24171.0,,,,10.15116760669524,10.09295021748145,10.15116760669524,,,
Illes Balears,2026,6,,1855591.0,1698936.0,1855591.0,1843238.0,1698936.0,1851374.0,,14.43371434057645,14.427034908114031,14.345513319330898,14.431439164229273,14.345513319330898,14.43037462434524,14.402087522673794,0.006679432462419754
Illes Balears,2026,7,,,1843238.0,,1855591.0,1843238.0,1698936.0,,,14.43371434057645,14.427034908114031,14.345513319330898,14.427034908114031,,,
Illes Balears,2026,8,,,1855591.0,,,1855591.0,1843238.0,,,,14.43371434057645,14.427034908114031,14.43371434057645,,,
Jaén,2026,6,,7217.0,5757.0,7217.0,6313.0,5757.0,8033.0,,8.884333185202735,8.750524669117937,8.65834547117212,8.991437814919227,8.65834547117212,8.817428927160336,8.764401108497596,0.13380851608479816
Jaén,2026,7,,,6313.0,,7217.0,6313.0,5757.0,,,8.884333185202735,8.750524669117937,8.65834547117212,8.750524669117937,,,
Jaén,2026,8,,,7217.0,,,7217.0,6313.0,,,,8.884333185202735,8.750524669117937,8.884333185202735,,,
La Rioja,2026,6,,18217.0,18164.0,18217.0,15742.0,18164.0,13894.0,,9.810165395304756,9.664151101014628,9.807251944655302,9.539284342176604,9.807251944655302,9.737158248159691,9.760522813658229,0.14601429429012747
La Rioja,2026,7,,,15742.0,,18217.0,15742.0,18164.0,,,9.810165395304756,9.664151101014628,9.807251944655302,9.664151101014628,,,
La Rioja,2026,8,,,18217.0,,,18217.0,15742.0,,,,9.810165395304756,9.664151101014628,9.810165395304756,,,
Las Palmas,2026,6,,443529.0,394807.0,443529.0,435925.0,394807.0,425445.0,,13.00252072218699,12.98522778315565,12.886154849760683,12.960893309423657,12.886154849760683,12.99387425267132,12.957967785034441,0.017292939031339216
Las Palmas,2026,7,,,435925.0,,443529.0,435925.0,394807.0,,,13.00252072218699,12.98522778315565,12.886154849760683,12.98522778315565,,,
Las Palmas,2026,8,,,443529.0,,,443529.0,435925.0,,,,13.00252072218699,12.98522778315565,13.00252072218699,,,
León,2026,6,,21379.0,29776.0,21379.0,20330.0,29776.0,22402.0,,9.970211184579036,9.919902093804223,10.301491562412671,10.01695015744693,10.301491562412671,9.94505663919163,10.06386828026531,0.05030909077481205
León,2026,7,,,20330.0,,21379.0,20330.0,29776.0,,,9.970211184579036,9.919902093804223,10.301491562412671,9.919902093804223,,,
León,2026,8,,,21379.0,,,21379.0,20330.0,,,,9.970211184579036,9.919902093804223,9.970211184579036,,,
Lleida,2026,6,,23402.0,18145.0,23402.0,21413.0,18145.0,22607.0,,10.060619498256424,9.971800192718215,9.806205429729575,10.02605910492431,9.806205429729575,10.01620984548732,9.946208373568071,0.08881930553820894
Lleida,2026,7,,,21413.0,,23402.0,21413.0,18145.0,,,10.060619498256424,9.971800192718215,9.806205429729575,9.971800192718215,,,
Lleida,2026,8,,,23402.0,,,23402.0,21413.0,,,,10.060619498256424,9.971800192718215,10.060619498256424,,,
Lugo,2026,6,,22114.0,38620.0,22114.0,22993.0,38620.0,22266.0,,10.004011390302427,10.042988591313685,10.561551448966803,10.010861040804457,10.561551448966803,10.023499990808055,10.202850476860972,-0.038977201011258344
Lugo,2026,7,,,22993.0,,22114.0,22993.0,38620.0,,,10.004011390302427,10.042988591313685,10.561551448966803,10.042988591313685,,,
Lugo,2026,8,,,22114.0,,,22114.0,22993.0,,,,10.004011390302427,10.042988591313685,10.004011390302427,,,
Madrid,2026,6,,589025.0,636700.0,589025.0,651345.0,636700.0,555803.0,,13.286225604274069,13.386796270015275,13.364055436602282,13.228170993098036,13.364055436602282,13.336510937144672,13.345692436963875,-0.10057066574120554
Madrid,2026,7,,,651345.0,,589025.0,651345.0,636700.0,,,13.286225604274069,13.386796270015275,13.364055436602282,13.386796270015275,,,
Madrid,2026,8,,,589025.0,,,589025.0,651345.0,,,,13.286225604274069,13.386796270015275,13.286225604274069,,,
Melilla,2026,6,,3502.0,1075.0,3502.0,2151.0,1075.0,3378.0,,8.161375023197486,7.674152921281675,6.98100574072173,8.12533508671429,6.98100574072173,7.91776397223958,7.605511228400297,0.48722210191581095
