Provincias,Año,Mes,Turistas_totales,Turistas_pasados,lag_estacional,lag_1,lag_2,lag_3,lag_4,log_ratio,log_lag_1,log_lag_2,log_lag_3,log_lag_4,log_lag_estacional,media_lag_2,media_lag_3,tendencia_corta
Cádiz,2024,6,95254.0,96741.0,91495.0,96741.0,89936.0,91495.0,88755.0,-0.01549029645143385,11.479802920134741,11.406864704198009,11.424050534461053,11.393646310686307,11.424050534461053,11.443333812166376,11.436906052931269,0.07293821593673222
Cádiz,2024,7,87768.0,95254.0,89936.0,95254.0,96741.0,89936.0,91495.0,-0.08185003836052296,11.464312785049536,11.479802920134741,11.406864704198009,11.424050534461053,11.406864704198009,11.472057852592139,11.45032680312743,-0.015490135085205026
Cádiz,2024,8,89695.0,87768.0,96741.0,87768.0,95254.0,96741.0,89936.0,0.021718056635863903,11.382463642106652,11.464312785049536,11.479802920134741,11.406864704198009,11.479802920134741,11.423388213578093,11.442193115763644,-0.08184914294288426
Córdoba,2018,6,42150.0,49374.0,46156.0,49374.0,41061.0,46156.0,46980.0,-0.15818928540376653,10.807199502203423,10.622838398592709,10.739803907735464,10.757498543639837,10.739803907735464,10.715018950398065,10.723280602843865,0.18436110361071378
Córdoba,2018,7,39433.0,42150.0,41061.0,42150.0,49374.0,41061.0,46156.0,-0.06663165525273662,10.64901368794098,10.807199502203423,10.622838398592709,10.739803907735464,10.622838398592709,10.728106595072202,10.693017196245705,-0.15818581426244194
Córdoba,2018,8,41361.0,39433.0,49374.0,39433.0,42150.0,49374.0,41061.0,0.047735378662475014,10.582383667326214,10.64901368794098,10.807199502203423,10.622838398592709,10.807199502203423,10.615698677633597,10.679532285823539,-0.06663002061476675
Córdoba,2019,6,46460.0,41361.0,42150.0,41361.0,39433.0,42150.0,49374.0,0.11625331948466133,10.630117863912622,10.582383667326214,10.64901368794098,10.807199502203423,10.64901368794098,10.606250765619418,10.620505073059938,0.04773419658640776
Córdoba,2019,7,37322.0,46460.0,39433.0,46460.0,41361.0,39433.0,42150.0,-0.21900876223098287,10.746368529984284,10.630117863912622,10.582383667326214,10.64901368794098,10.582383667326214,10.688243196948452,10.652956687074372,0.11625066607166268
Córdoba,2019,8,39991.0,37322.0,41361.0,37322.0,46460.0,41361.0,39433.0,0.06907146368635786,10.527365037582602,10.746368529984284,10.630117863912622,10.582383667326214,10.630117863912622,10.636866783783443,10.634617143826503,-0.21900349240168282
Córdoba,2022,6,32670.0,19358.0,9542.0,19358.0,15611.0,9542.0,7921.0,0.5233514548860807,9.87091270660395,9.655795128300506,9.163563180417254,8.977398978181862,9.163563180417254,9.763353917452228,9.563423671773904,0.21511757830344358
